"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"7518"	"temoin"	0	79	78	0.92	0	88.9	11.1	19	50	38.8	37.4	6.79	1.88	16.7	12	5280	31.19	1.74	219.6	32.01333333
"8466"	"temoin"	1	81	87	0.93	0	88.9	11.1	25.3	22	45.6	44	6.72	1.86	20.5	12	6679	30.79	1.228571429	208.7142857	33.7
"2798"	"methionine"	1	76	72	0.93	0	88.9	11.1	19.9	100	36.3	32.9	6.9	1.84	16.8	18	6787	30.69	0.946153846	105.6538462	30.73076923
"4117"	"methionine"	0	99	102	0.95	0	89	11	19.6	74.4	43.9	38.7	6.92	1.8	19.3	12	6782	31.79	0.869230769	144.8846154	33.16538462
"4307"	"temoin"	0	104	101	0.93	0	89.2	10.8	17.2	13.5	38.6	37.6	6.84	1.91	19	16	7108	31.49	2.421052632	237	36.79473684
"1083"	"methionine"	1	108	116	0.91	0	89.2	10.8	18.3	0	45.7	45.2	7	1.97	19.2	15	8545	31.79	1.142857143	153.5	33.23571429
"7664"	"temoin"	0	77	80	0.95	0	89.3	10.7	25.7	0	50.7	45.9	6.87	1.78	18.8	18	7306	30.19	1.525	190.3958333	33.3875
"5861"	"temoin"	1	91	90	0.93	0	89.3	10.7	23	0	46.6	45.4	6.81	1.86	20.7	12	7852	30.99	2.186666667	169.6666667	32.96666667
"7785"	"methionine"	0	108	99	0.94	0	89.5	10.5	17.1	21.1	36.9	35.6	6.72	1.88	19.5	10	6249	32.29	0.042105263	200.3684211	36.01578947
"4872"	"methionine"	1	134	139	0.93	0	89.5	10.5	14.9	0	38.6	36.6	6.8	1.85	20.1	15	7555	31.29	3.193939394	180.4848485	32.24848485
"6385"	"temoin"	0	93	99	0.93	0	89.7	10.3	18.7	13.2	41	40.6	6.84	1.93	17.8	11	6064	29.99	2.966666667	191.1111111	33.17777778
"4027"	"temoin"	0	117	118	0.97	0	89.7	10.3	14.1	100	36.9	30.8	6.97	1.81	16.9	15	6654	33.59	3.184	225	37.368
"5376"	"methionine"	1	77	78	0.95	0	89.7	10.3	27	49.2	53	51	6.86	1.87	19.9	5	6981	30.69	1.35625	140.125	32.14375
"1234"	"temoin"	0	145	145	0.92	0	89.9	10.1	13.5	3.3	39.2	36.4	6.89	1.91	19.5	17	6078	29.69	1.63	182.25	35.415
"2319"	"temoin"	1	88	91	0.95	0	89.9	10.1	25.7	50	45	40.7	6.87	1.82	24	12	7424	32.39	2.683333333	179.3888889	33.82777778
"1777"	"temoin"	0	98	100	0.88	0	90	10	17.8	0	43.5	43	6.96	1.97	18.3	16	7429	31.89	1.507692308	165.4230769	32.89615385
"5622"	"methionine"	0	93	97	0.93	0	90	10	20.1	0	43.5	39.9	6.83	1.82	18.8	17	7053	30.69	2.806060606	174.969697	32.78181818
"3916"	"methionine"	0	97	103	0.9	0	90.3	9.7	18.5	0	40.8	38.4	6.79	1.85	19	19	7176	30.19	0.854545455	176.4545455	31.30454546
"2621"	"temoin"	0	92	95	0.95	0	91.4	8.6	21.9	20.8	47.5	47.5	6.95	1.97	19.3	14	8658	32.09	3.233333333	242.6666667	35.7
"1119"	"temoin"	0	91	92	0.95	0	91.5	8.5	21.6	54.2	45.1	41.3	6.86	1.82	19.5	14	8203	31.89	1.765217391	188	33.23913044
"3986"	"methionine"	0	96	83	0.94	0	91.8	8.2	26	52.4	55.1	53.4	6.75	1.85	21.3	14	6444	33.39	2.24	167.6666667	34.08
"4619"	"methionine"	1	85	82	0.95	0	92.1	7.9	23.8	81.5	48.6	42.9	6.93	1.78	20	8	7668	31.39	1.057692308	152.7307692	31.66923077
"9464"	"methionine"	1	107	112	0.97	0	92.7	7.3	22.4	35.2	40.6	35.8	6.34	1.77	21.3	15	6935	30.09	-0.191304348	125.2173913	29.05217391
"3618"	"temoin"	0	96	98	0.92	0	93.1	6.9	17.1	100	43.3	37	6.95	1.79	17.5	16	6829	30.89	0.927272727	203.3181818	33.31363636
"6503"	"temoin"	0	79	77	0.92	0	93.2	6.8	22.2	43.8	41.6	37.8	6.87	1.83	19	13	8123	31.19	1.765517241	141.1034483	32.85862069
"7754"	"temoin"	0	76	73	0.89	0	93.3	6.7	21.6	57.4	39.8	37.6	6.86	1.89	19.1	14	7057	29.99	1.989473684	191.3684211	33.60526316
"8718"	"methionine"	1	107	110	0.96	0	93.3	6.7	16.6	100	41	35	6.95	1.8	18	10	7452	31.59	2.533333333	129.4444444	32.35
"2762"	"temoin"	1	90	90	0.97	0	93.3	6.7	20.5	100	42.9	37.8	6.92	1.81	18.9	20	7249	31.59	5.252631579	210	33.33157895
"2607"	"methionine"	1	92	93	0.96	0	93.3	6.7	20	100	46.6	40.3	6.96	1.77	18.7	13	7088	31.59	3.04	249.2	36.03
"9519"	"methionine"	1	103	100	0.96	0	93.3	6.7	16.6	0	34.8	38	6.72	2	18	10	7083	30.69	4.15	196	33.09375
"2185"	"temoin"	0	97	100	0.93	0	93.8	6.3	22.2	0	48.4	47.3	6.8	1.9	20.6	9	7427	31.19	2.725	111.6875	32.78125
"4112"	"methionine"	0	98	93	0.97	0	93.8	6.3	20.5	0	42.1	37.7	6.87	1.82	20.1	5	7941	30.99	1.268421053	230.7894737	33.82105263
"5923"	"temoin"	1	89	89	0.96	0	93.8	6.3	23.9	82.5	47.3	42.7	6.88	1.8	21	14	8247	32.09	2.741176471	172.4705882	34.42941177
"9906"	"methionine"	1	88	93	0.93	0	94.2	5.8	21.9	0	44.3	40.7	6.79	1.82	19.7	14	7628	30.99	2.24	188.8	31.94
"6190"	"temoin"	0	105	106	0.92	0	97	3	22	0	50.7	46.9	6.81	1.81	21.2	19	8938	30.89	-0.781818182	101.969697	32.02727273
"2067"	"methionine"	1	145	142	0.94	0	97.3	2.7	15.8	25.6	44.5	39.6	6.79	1.78	21.7	8	7703	31.99	2.181818182	168.1818182	31.45909091
"9164"	"temoin"	0	93	92	0.93	0	98	2	19.1	26.8	41	36.8	6.82	1.82	18.9	16	5861	30.39	5.48	213.2	32.425
"6554"	"temoin"	0	111	114	0.95	0	100	0	15	0	36.9	33	6.84	1.84	17.6	12	7171	32.49	3.608	208.12	34.312
